Lutsk{country:Aglela,population:181}
Klepachiv{country:Aglela,population:528}
Windytown (Vitrove){country:Aglela,population:542}
Highttown (Visoke){country:Aglela,population:61}
gitomir{country:Aglela,population:283}
Lviv{country:Aglela,population:648}
Easttown (Shidnitsya){country:Aglela,population:503}
Yalta{country:Aglela,population:387}
Peacetown (mirne){country:Aglela,population:452}
Kiev{country:Svulia,population:634}
Bigtown (Velike){country:Svulia,population:558}
Nearseatown (Primorsk){country:Treoburg,population:300}
Greentown (Zelene){country:Treoburg,population:358}
Gidichin{country:Treoburg,population:257}
Kerch{country:Treoburg,population:671}
Cherrytown (Vishniv){country:Treoburg,population:186}
Rivne{country:Treoburg,population:410}
Seatown (Morske){country:Treoburg,population:672}
Coldtown (Holodne){country:Svevania,population:306}
Bridgetown (Mist){country:Svevania,population:865}
Startown (Zoryane){country:Svevania,population:1115}
Ternopile{country:Svevania,population:487}
Dubno{country:Svevania,population:490}
Krakiv{country:Svevania,population:255}
Strongtown (Silne){country:Svevania,population:343}
Fartown (Daleke){country:Svevania,population:209}
Hortitsya{country:Svevania,population:687}
Largetown (Gorodishe){country:Svevania,population:704}
Genichesk{country:Svevania,population:555}
Islandtown (Ostriv){country:Svevania,population:234}
Kovel{country:Svevania,population:418}
Nigin{country:Svevania,population:220}
Plaintown (Dolina){country:Foshar,population:387}
Mirgorod{country:Foshar,population:376}
Kiverero (Kivertsi){country:Foshar,population:179}
