Lutsk{country:Aglela, population:183}
Klepachiv{country:Aglela, population:528}
Windytown (Vitrove){country:Aglela, population:542}
Highttown (Visoke){country:Aglela, population:61}
gitomir{country:Aglela, population:285}
Lviv{country:Aglela, population:648}
Easttown (Shidnitsya){country:Aglela, population:503}
Yalta{country:Aglela, population:389}
Peacetown (mirne){country:Aglela, population:454}
Kiev{country:Svulia, population:634}
Bigtown (Velike){country:Svulia, population:558}
Nearseatown (Primorsk){country:Treoburg, population:302}
Greentown (Zelene){country:Treoburg, population:360}
Gidichin{country:Treoburg, population:259}
Kerch{country:Treoburg, population:671}
Cherrytown (Vishniv){country:Treoburg, population:188}
Rivne{country:Treoburg, population:412}
Seatown (Morske){country:Treoburg, population:672}
Coldtown (Holodne){country:Svevania, population:308}
Bridgetown (Mist){country:Svevania, population:865}
Startown (Zoryane){country:Svevania, population:1116}
Ternopile{country:Svevania, population:489}
Dubno{country:Svevania, population:492}
Krakiv{country:Svevania, population:257}
Strongtown (Silne){country:Svevania, population:345}
Fartown (Daleke){country:Svevania, population:211}
Hortitsya{country:Svevania, population:687}
Largetown (Gorodishe){country:Svevania, population:704}
Genichesk{country:Svevania, population:555}
Islandtown (Ostriv){country:Svevania, population:236}
Kovel{country:Svevania, population:420}
Nigin{country:Svevania, population:222}
Plaintown (Dolina){country:Foshar, population:389}
Mirgorod{country:Foshar, population:378}
Kiverero (Kivertsi){country:Foshar, population:181}
